         Age_diff (years)               Probability                 HPD_68.2%                 HPD_95.4% 
                     1730                         0                         0                         0 
                     1735                         0                         0                         0 
                     1740                         0                         0                         0 
                     1745                         0                         0                         0 
                     1750                         0                         0                         0 
                     1755                         0                         0                         0 
                     1760                         0                         0                         0 
                     1765                         0                         0                         0 
                     1770                         0                         0                         0 
                     1775                         0                         0                         0 
                     1780                         0                         0                         0 
                     1785                         0                         0                         0 
                     1790                         0                         0                         0 
                     1795                         0                         0                         0 
                     1800                         0                         0                         0 
                     1805                         0                         0                         0 
                     1810                         0                         0                         0 
                     1815                         0                         0                         0 
                     1820                         0                         0                         0 
                     1825                         0                         0                         0 
                     1830                         0                         0                         0 
                     1835                         0                         0                         0 
                     1840                         0                         0                         0 
                     1845                         0                         0                         0 
                     1850                         0                         0                         0 
                     1855                         0                         0                         0 
                     1860                         0                         0                         0 
                     1865                         0                         0                         0 
                     1870                         0                         0                         0 
                     1875                         0                         0                         0 
                     1880                         0                         0                         0 
                     1885                         0                         0                         0 
                     1890                         0                         0                         0 
                     1895                         0                         0                         0 
                     1900                         0                         0                         0 
                     1905                         0                         0                         0 
                     1910                         0                         0                         0 
                     1915                         0                         0                         0 
                     1920                         0                         0                         0 
                     1925                         0                         0                         0 
                     1930                         0                         0                         0 
                     1935                         0                         0                         0 
                     1940                         0                         0                         0 
                     1945                         0                         0                         0 
                     1950                         0                         0                         0 
                     1955                         0                         0                         0 
                     1960                         0                         0                         0 
                     1965                         0                         0                         0 
                     1970                         0                         0                         0 
                     1975                         0                         0                         0 
                     1980                         0                         0                         0 
                     1985                         0                         0                         0 
                     1990                         0                         0                         0 
                     1995                         0                         0                         0 
                     2000                         0                         0                         0 
                     2005                         0                         0                         0 
                     2010                         0                         0                         0 
                     2015                         0                         0                         0 
                     2020                         0                         0                         0 
                     2025                         0                         0                         0 
                     2030                         0                         0                         0 
                     2035                         0                         0                         0 
                     2040                         0                         0                         0 
                     2045                         0                         0                         0 
                     2050                         0                         0                         0 
                     2055                         0                         0                         0 
                     2060                         0                         0                         0 
                     2065                         0                         0                         0 
                     2070                         0                         0                         0 
                     2075                         0                         0                         0 
                     2080                         0                         0                         0 
                     2085                         0                         0                         0 
                     2090                         0                         0                         0 
                     2095                         0                         0                         0 
                     2100                         0                         0                         0 
                     2105                         0                         0                         0 
                     2110                         0                         0                         0 
                     2115                         0                         0                         0 
                     2120                         0                         0                         0 
                     2125                         0                         0                         0 
                     2130                         0                         0                         0 
                     2135                         0                         0                         0 
                     2140                         0                         0                         0 
                     2145                         0                         0                         0 
                     2150                         0                         0                         0 
                     2155                         0                         0                         0 
                     2160                         0                         0                         0 
                     2165                         0                         0                         0 
                     2170                         0                         0                         0 
                     2175                         0                         0                         0 
                     2180                         0                         0                         0 
                     2185                         0                         0                         0 
                     2190                         0                         0                         0 
